runtime,seed,suboptimality,agent num,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.185958,2,1.5,120,1,1,28178,120581,21285,21264,21264,21264,6,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0.009547,3.3e-05,0.002108,0,0,0,0.02661,1e-06,0.004715,0.013594,0.013893,1.52762,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.183945,3,1.5,120,1,1,28178,120581,21285,21264,21264,21264,6,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0.009504,3.3e-05,0.002131,0,0,0,0.024851,5e-06,0.004688,0.012802,0.013101,1.51999,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.185053,4,1.5,120,1,1,28178,120581,21285,21264,21264,21264,6,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0.009518,3.3e-05,0.0021,0,0,0,0.026515,1e-06,0.004479,0.012742,0.013035,1.51079,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.186126,5,1.5,120,1,1,28178,120581,21285,21264,21264,21264,6,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0.009648,3.4e-05,0.002137,0,0,0,0.025483,8e-06,0.004738,0.012991,0.013302,1.51261,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.226411,1,1.5,130,1,1,35941,136754,22790,22754,22754,22754,8,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0.020262,3.7e-05,0.00253,0,0,0,0.028845,2e-06,0.006203,0.016925,0.017331,1.63472,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.228635,2,1.5,130,1,1,35941,136754,22790,22754,22754,22754,8,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0.019766,4.1e-05,0.002493,0,0,0,0.028742,2e-06,0.006152,0.016906,0.017314,1.61366,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.23392,3,1.5,130,1,1,35941,136754,22790,22754,22754,22754,8,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0.020334,4.3e-05,0.002576,0,0,0,0.029606,3e-06,0.006556,0.017765,0.018191,1.65566,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.233529,4,1.5,130,1,1,35941,136754,22790,22754,22754,22754,8,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0.020301,4.1e-05,0.002487,0,0,0,0.029347,4e-06,0.006225,0.017725,0.018135,1.69914,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.235807,5,1.5,130,1,1,35941,136754,22790,22754,22754,22754,8,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0.019971,4.5e-05,0.002566,0,0,0,0.028798,4e-06,0.006193,0.016964,0.017373,1.65905,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.353307,1,1.5,140,1,1,39966,152501,24393,24357,24357,24357,11,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0.042796,5.2e-05,0.003919,0,0,0,0.050962,3.3e-05,0.019889,0.043135,0.044521,1.78791,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.281054,2,1.5,140,1,1,39966,152501,24393,24357,24357,24357,11,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0.033126,4.2e-05,0.003074,0,0,0,0.036365,3e-06,0.010069,0.028067,0.028691,1.83937,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.282577,3,1.5,140,1,1,39966,152501,24393,24357,24357,24357,11,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0.033711,4.2e-05,0.003074,0,0,0,0.037996,9e-06,0.009974,0.028003,0.028629,1.75516,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.279536,4,1.5,140,1,1,39966,152501,24393,24357,24357,24357,11,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0.033419,4.3e-05,0.003074,0,0,0,0.038477,6e-06,0.009731,0.027816,0.028442,1.78207,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.276312,5,1.5,140,1,1,39966,152501,24393,24357,24357,24357,11,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0.033481,4.6e-05,0.00306,0,0,0,0.037259,3e-06,0.009371,0.026721,0.027331,1.79116,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.289803,1,1.5,150,1,1,44282,167246,26570,26531,26531,26531,11,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0.019222,5.5e-05,0.003499,0,0,0,0.036488,4e-06,0.010497,0.031323,0.031974,1.88882,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.288637,2,1.5,150,1,1,44282,167246,26570,26531,26531,26531,11,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0.019219,4.8e-05,0.003513,0,0,0,0.037723,8e-06,0.010534,0.030649,0.031319,1.90864,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.287025,3,1.5,150,1,1,44282,167246,26570,26531,26531,26531,11,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0.018811,4.4e-05,0.003459,0,0,0,0.037169,6e-06,0.011017,0.031848,0.032522,1.8651,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.287508,4,1.5,150,1,1,44282,167246,26570,26531,26531,26531,11,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0.018873,4.8e-05,0.003455,0,0,0,0.036788,6e-06,0.010415,0.030277,0.030942,1.9002,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.288154,5,1.5,150,1,1,44282,167246,26570,26531,26531,26531,11,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0.019403,5e-05,0.003537,0,0,0,0.035854,4e-06,0.010605,0.030948,0.031615,1.841,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.340474,1,1.5,160,1,1,46794,179103,28137,28098,28098,28098,13,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0.038326,5.1e-05,0.004055,0,0,0,0.043974,6e-06,0.013501,0.038297,0.039177,2.04791,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.339846,2,1.5,160,1,1,46794,179103,28137,28098,28098,28098,13,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0.03822,5.1e-05,0.004017,0,0,0,0.044099,5e-06,0.013335,0.038024,0.038894,2.03069,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.340256,3,1.5,160,1,1,46794,179103,28137,28098,28098,28098,13,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0.03778,4.9e-05,0.004018,0,0,0,0.043413,5e-06,0.013767,0.038809,0.039671,2.01908,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.348282,4,1.5,160,1,1,46794,179103,28137,28098,28098,28098,13,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0.038525,5.3e-05,0.004117,0,0,0,0.045397,8e-06,0.014012,0.039394,0.040276,2.02275,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.342761,5,1.5,160,1,1,46794,179103,28137,28098,28098,28098,13,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0.039083,5.3e-05,0.004131,0,0,0,0.04438,6e-06,0.013492,0.038658,0.039536,2.05056,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.377242,1,1.5,170,1,1,50638,193455,30118,30075,30075,30075,15,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0.038993,5.4e-05,0.004691,0,0,0,0.046854,5e-06,0.015879,0.044399,0.045442,2.19656,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.380648,2,1.5,170,1,1,50638,193455,30118,30075,30075,30075,15,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0.039479,5.4e-05,0.004673,0,0,0,0.048116,1.3e-05,0.017503,0.04635,0.047433,2.18569,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
